t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level,air_pressure_at_sea_level_quality,rainfall_1,rainfall_1_quality,rainfall_1_period
1996-08-25T17:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T18:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T18:15Z,4.01425727958696,1,2.1,1,,9,,9,,9,,,
1996-08-25T18:35Z,3.83972435438753,1,3.1,1,,9,,9,,9,,,
1996-08-25T18:48Z,0.349065850398866,1,2.1,1,11,1,11,1,,9,,,
1996-08-25T18:53Z,,1,0,1,9,1,9,1,,9,,,
1996-08-25T19:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T19:15Z,4.18879020478639,1,2.1,1,,9,,9,,9,,,
1996-08-25T19:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T20:00Z,3.83972435438753,1,1.5,1,,9,,9,,9,,,
1996-08-25T20:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T20:53Z,5.93411945678072,1,5.7,1,10,1,10,1,,9,,,
1996-08-25T21:00Z,,1,0,1,,9,,9,,9,,,
1996-08-25T21:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T21:16Z,,1,0,1,10,1,10,1,,9,,,
1996-08-25T21:35Z,1.39626340159546,1,3.1,1,,9,,9,,9,,,
1996-08-25T21:50Z,,1,0,1,17,1,11,1,,9,,,
1996-08-25T22:00Z,5.93411945678072,1,5.1,1,,9,,9,,9,,,
1996-08-25T22:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T22:35Z,,1,0,1,,9,,9,,9,,,
1996-08-25T22:53Z,,1,0,1,11,1,10,1,,9,,,
1996-08-25T23:00Z,1.91986217719376,1,1.5,1,,9,,9,,9,,,
1996-08-25T23:15Z,,1,0,1,,9,,9,,9,,,
1996-08-25T23:35Z,4.71238898038469,1,1.5,1,,9,,9,,9,,,
1996-08-25T23:49Z,,1,0,1,11,1,10,1,,9,,,
1996-08-26T00:00Z,2.0943951023932,1,1.5,1,,9,,9,,9,,,
1996-08-26T00:49Z,,1,0,1,11,1,10,1,,9,,,
